code,subject,province,city,city_id,distance_km,school_name,school_id,hours,other,winner,you,total,groups
2A1,INSTAL. Y MANT. DE EQUIPOS TÉRMICOS Y DE FLUIDOS,ALACANT,SANT VICENT DEL RASPEIG,03010442,0,CIPFP,856105,18,,2.0,,33.0,0/5/27
2A4,LABORATORIO,ALACANT,ALACANT,03010119,0,IES VIRGEN DEL REMEDIO,897817,18,,5.0,,113.0,0/10/102
2A4,LABORATORIO,ALACANT,ALCOI,03000394,0,IES PARE VITÒRIA,889666,18,,3.0,,54.0,0/5/47
2A4,LABORATORIO,ALACANT,ALCOI,03000394,0,IES PARE VITÒRIA,212331,18,,,,103.0,0/13/86
2A4,LABORATORIO,ALACANT,ALCOI,03000394,0,IES PARE VITÒRIA,884057,18,,4.0,,54.0,0/5/47
2A4,LABORATORIO,ALACANT,BENEJÚZAR,03014587,0,IES BENEJÚZAR,914211,18,,1.0,,97.0,0/5/90
2A4,LABORATORIO,ALACANT,BENEJÚZAR,03014587,0,IES BENEJÚZAR,914212,18,,3.0,,94.0,0/5/87
2A4,LABORATORIO,CASTELLÓ,CASTELLÓ DE LA PLANA,12004205,0,IES VICENT,913523,14,,1.0,55.0,85.0,0/20/64
2A8,OP. Y EQU.DE ELABORACIÓN DE PRODUCTOS ALIMENTARIOS,ALACANT,ALACANT,03010119,0,IES VIRGEN DEL REMEDIO,855801,18,,3.0,,82.0,1/4/76
2A8,OP. Y EQU.DE ELABORACIÓN DE PRODUCTOS ALIMENTARIOS,ALACANT,COCENTAINA,03003760,0,IES PARE ARQUES,912128,9,,1.0,,56.0,0/5/50
2A8,OP. Y EQU.DE ELABORACIÓN DE PRODUCTOS ALIMENTARIOS,ALACANT,XIXONA,03006256,0,IES DE XIXONA,901014,15,,1.0,,61.0,0/6/55
2A9,OPERACIONES DE PROCESOS,ALACANT,ALACANT,03010119,0,IES VIRGEN DEL REMEDIO,913656,14,,1.0,,58.0,0/2/56
2A9,OPERACIONES DE PROCESOS,VALÈNCIA,SILLA,46007943,0,IES MANUEL SANCHIS,914317,8,,1.0,22.0,44.0,0/4/40
207,FÍSICA Y QUÍMICA,VALÈNCIA,RIBA-ROJA DE TÚRIA,46020327,0,IES PLA DE,201537,18,,1.0,51.0,95.0,1/11/81
236,ASESORÍA Y PROCESOS DE IMAGEN PERSONAL,ALACANT,ALACANT,03015543,0,IES EL PLA,906127,9,,3.0,,51.0,0/0/51
236,ASESORÍA Y PROCESOS DE IMAGEN PERSONAL,ALACANT,CREVILLENT,03003978,0,IES MACIÀ ABELA,899576,18,,2.0,,31.0,0/0/31
236,ASESORÍA Y PROCESOS DE IMAGEN PERSONAL,ALACANT,ELDA,03005768,0,IES LA TORRETA,904631,9,,2.0,,42.0,0/0/42
236,ASESORÍA Y PROCESOS DE IMAGEN PERSONAL,VALÈNCIA,ALBAIDA,46000213,0,IES JOSEP SEGRELLES,855805,18,,3.0,,26.0,0/1/25
264,ANÁLISIS Y QUÍMICA INDUSTRIAL,ALACANT,ALACANT,03010119,0,IES VIRGEN DEL REMEDIO,862113,18,,3.0,,62.0,0/2/60
266,ORGANIZACIÓN Y PROYECTOS DE SISTEMAS ENERGÉTICOS,ALACANT,PETRER,03015154,0,IES LA CANAL,913073,9,,1.0,,28.0,0/1/25
